District,Year,indicator,value
BANKURA,2015-16,LPG User,13
PASCHIM BARDDHAMAN,2015-16,LPG User,30
BIRBHUM,2015-16,LPG User,15
DAKSHIN DINAJPUR,2015-16,LPG User,12
KALIMPONG,2015-16,LPG User,56
DARJILING,2015-16,LPG User,56
HAORA,2015-16,LPG User,40
HUGLI,2015-16,LPG User,31
ALIPURDUAR,2015-16,LPG User,25
JALPAIGURI,2015-16,LPG User,25
KOCH BIHAR,2015-16,LPG User,13
KOLKATA,2015-16,LPG User,62
MALDAH,2015-16,LPG User,13
MURSHIDABAD,2015-16,LPG User,18
NADIA,2015-16,LPG User,25
NORTH24PARGANAS,2015-16,LPG User,39
JHARGRAM,2015-16,LPG User,14
PASCHIM MEDINIPUR,2015-16,LPG User,14
PURBA BARDDHAMAN,2015-16,LPG User,30
PURBA MEDINIPUR,2015-16,LPG User,10
PURULIYA,2015-16,LPG User,7
SOUTH 24PARGANAS,2015-16,LPG User,19
UTTAR DINAJPUR,2015-16,LPG User,12
BANKURA,2019-21,LPG User,21
PASCHIM BARDDHAMAN,2019-21,LPG User,56
BIRBHUM,2019-21,LPG User,28
DAKSHIN DINAJPUR,2019-21,LPG User,29
KALIMPONG,2019-21,LPG User,68
DARJILING,2019-21,LPG User,68
HAORA,2019-21,LPG User,62
HUGLI,2019-21,LPG User,54
ALIPURDUAR,2019-21,LPG User,43
JALPAIGURI,2019-21,LPG User,43
KOCH BIHAR,2019-21,LPG User,26
KOLKATA,2019-21,LPG User,92
MALDAH,2019-21,LPG User,30
MURSHIDABAD,2019-21,LPG User,30
NADIA,2019-21,LPG User,34
NORTH24PARGANAS,2019-21,LPG User,59
JHARGRAM,2019-21,LPG User,17
PASCHIM MEDINIPUR,2019-21,LPG User,17
PURBA BARDDHAMAN,2019-21,LPG User,32
PURBA MEDINIPUR,2019-21,LPG User,17
PURULIYA,2019-21,LPG User,23
SOUTH 24PARGANAS,2019-21,LPG User,36
UTTAR DINAJPUR,2019-21,LPG User,27
BANKURA,2015-16,No Toilet,63
PASCHIM BARDDHAMAN,2015-16,No Toilet,36
BIRBHUM,2015-16,No Toilet,62
DAKSHIN DINAJPUR,2015-16,No Toilet,37
KALIMPONG,2015-16,No Toilet,12
DARJILING,2015-16,No Toilet,12
HAORA,2015-16,No Toilet,10
HUGLI,2015-16,No Toilet,17
ALIPURDUAR,2015-16,No Toilet,27
JALPAIGURI,2015-16,No Toilet,27
KOCH BIHAR,2015-16,No Toilet,24
KOLKATA,2015-16,No Toilet,0
MALDAH,2015-16,No Toilet,36
MURSHIDABAD,2015-16,No Toilet,22
NADIA,2015-16,No Toilet,6
NORTH24PARGANAS,2015-16,No Toilet,3
JHARGRAM,2015-16,No Toilet,43
PASCHIM MEDINIPUR,2015-16,No Toilet,43
PURBA BARDDHAMAN,2015-16,No Toilet,36
PURBA MEDINIPUR,2015-16,No Toilet,7
PURULIYA,2015-16,No Toilet,85
SOUTH 24PARGANAS,2015-16,No Toilet,18
UTTAR DINAJPUR,2015-16,No Toilet,54
BANKURA,2019-21,No Toilet,37
PASCHIM BARDDHAMAN,2019-21,No Toilet,16
BIRBHUM,2019-21,No Toilet,32
DAKSHIN DINAJPUR,2019-21,No Toilet,10
KALIMPONG,2019-21,No Toilet,3
DARJILING,2019-21,No Toilet,3
HAORA,2019-21,No Toilet,4
HUGLI,2019-21,No Toilet,6
ALIPURDUAR,2019-21,No Toilet,12
JALPAIGURI,2019-21,No Toilet,12
KOCH BIHAR,2019-21,No Toilet,4
KOLKATA,2019-21,No Toilet,3
MALDAH,2019-21,No Toilet,11
MURSHIDABAD,2019-21,No Toilet,8
NADIA,2019-21,No Toilet,4
NORTH24PARGANAS,2019-21,No Toilet,1
JHARGRAM,2019-21,No Toilet,27
PASCHIM MEDINIPUR,2019-21,No Toilet,27
PURBA BARDDHAMAN,2019-21,No Toilet,15
PURBA MEDINIPUR,2019-21,No Toilet,4
PURULIYA,2019-21,No Toilet,61
SOUTH 24PARGANAS,2019-21,No Toilet,4
UTTAR DINAJPUR,2019-21,No Toilet,24
BANKURA,2015-16,Bank A/C Holder,91
PASCHIM BARDDHAMAN,2015-16,Bank A/C Holder,85
BIRBHUM,2015-16,Bank A/C Holder,86
DAKSHIN DINAJPUR,2015-16,Bank A/C Holder,89
KALIMPONG,2015-16,Bank A/C Holder,85
DARJILING,2015-16,Bank A/C Holder,85
HAORA,2015-16,Bank A/C Holder,86
HUGLI,2015-16,Bank A/C Holder,84
ALIPURDUAR,2015-16,Bank A/C Holder,74
JALPAIGURI,2015-16,Bank A/C Holder,74
KOCH BIHAR,2015-16,Bank A/C Holder,81
